Bedrooms,Bathrooms,LivingSQFT,Age,DistToWH,LotSize,ListingType,Floors,CountySchool,Garage,Price
5,5,3669,0,8897.263857,0.11,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1400000
5,3,2495,74,8383.59502,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,939000
8,4,2982,47,5547.310011,0.13,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,899900
3,3,1900,82,7192.533069,0.13,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,819900
3,4,1716,39,7195.518099,0.04,Condo/Townhome,2.5,ARLINGTON COUNTY PUBLIC SCHOOLS,0,789900
3,1,1152,79,6944.810929,0.19,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,750000
3,2,1200,73,9329.969121,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,729900
3,4,1860,39,5485.854845,0.04,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,725000
3,1,1122,66,7768.959696,0.19,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,650000
2,2,1300,14,8428.979251,0.03,Condo/Townhome,1,ARLINGTON COUNTY PUBLIC SCHOOLS,2,379000
7,8,6491,1,7796.77795,0.34,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2195000
3,4,2900,79,8149.24372,0.29,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1495000
5,5,4007,68,7040.786986,0.2,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1450000
5,5,4038,0,8543.952997,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1299000
4,3,2591,84,8195.780337,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1185000
4,3,1868,67,5074.544628,0.16,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,975000
4,3,2292,72,9546.211266,0.15,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,899900
3,4,1240,37,7777.970485,0,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,575000
2,2,936,78,6548.084228,0.07,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,519900
2,1,850,80,5998.255118,0.06,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,459900
2,1,1010,58,8200.019298,0,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,195000
7,8,7066,0,8164.858802,0.33,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,3,2999900
5,5,3372,3,5531.515539,0.18,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1650000
5,5,3777,14,10676.23505,0.31,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1650000
5,4,3122,77,7385.104546,0.18,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,965000
4,3,2072,65,6151.752384,0.25,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,715000
5,6,4604,3,4515.470507,0.13,Single Family,2.5,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2190000
3,2,1480,83,6122.19566,0.11,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,699000
5,5,4282,0,7251.343788,0.15,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1850000
6,5,6500,30,5661.106744,0.28,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1499000
3,2,1744,77,6237.718629,0.12,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,699900
5,5,4083,4,7052.11985,0.24,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1725000
4,3,2806,78,9564.425792,0.17,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,969900
3,2,2332,79,9533.485851,0.21,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,950000
3,2,1302,54,6423.458653,0.17,Single Family,1,ARLINGTON COUNTY PUBLIC SCHOOLS,0,649900
2,2,1200,81,7684.888114,0.04,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,599900
2,1,900,79,6310.470037,0.05,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,550000
6,8,7821,3,7089.90221,0.24,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2395000
6,6,4475,79,8205.838215,0.29,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1999900
5,5,4214,14,6115.610841,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1734000
5,4,2882,82,6735.398237,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,1185000
3,4,2294,119,6652.943928,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,998000
4,3,1829,68,7286.420698,0.36,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,989000
3,3,1960,110,7373.739945,0.17,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,839000
4,2,1700,72,9386.242792,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,799000
2,1,850,80,4799.516037,0.09,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,525000
2,1,1255,80,6037.401399,0.07,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,424990
3,3,2600,84,6979.227135,0.15,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,3,998000
4,3,2372,56,5864.835798,0.27,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,1,800000
5,3,2264,58,10215.23265,0.28,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,6,799999
3,3,1623,72,9934.583384,0.12,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,755000
4,3,2398,57,10357.57473,0.15,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,879000
5,4,3320,19,9227.396874,0.27,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1299000
5,6,5742,15,5004.242128,0.28,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1799900
4,4,3500,0,6718.625486,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,998800
7,7,2001,0,8319.505059,0.26,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2195000
3,5,3600,17,3206.954314,0.02,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2175000
4,5,2869,73,5464.69919,0.23,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1350000
4,3,3144,51,5931.163435,0.49,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,1150000
4,2,3182,68,10464.26865,0.24,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,975000
3,2,1050,80,7344.323601,0.08,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,629900
3,3,1332,30,8140.100169,0.02,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,465000
5,7,6060,15,5363.156095,0.19,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1799000
5,5,5055,1,7286.948682,0.16,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1599000
4,5,4121,0,8384.359939,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1335000
4,4,2218,78,8195.217608,0.19,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,975000
4,2,2270,72,6921.298891,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,750000
3,4,2310,40,8139.612705,0.12,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,709900
3,2,2452,68,10908.44134,0.23,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,599997
2,1,994,80,5731.890911,0,Condo/Townhome,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,395000
5,7,7146,0,6877.979558,0.27,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2449000
6,4,4208,115,5841.48405,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1649000
3,3,1834,75,8667.785826,0.13,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,919900
3,1,1454,100,6198.946227,0.17,Single Family,1,ARLINGTON COUNTY PUBLIC SCHOOLS,1,749900
2,2,1100,96,4971.568754,0.13,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,897000
3,2,1008,69,9727.918403,0.31,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,1,865000
4,2,2288,62,9704.785876,0.15,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,1,749900
3,1,1096,89,4990.01067,0.22,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,799999
5,7,6710,0,9000.785517,0.23,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2299900
4,2,1325,71,8304.284111,0.19,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,749888
3,3,1760,72,8849.134106,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,719000
7,7,7136,0,7091.032107,0.29,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,3,2649333
6,9,7300,0,7136.906467,0.35,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2595999
6,6,5400,0,8834.718209,0.16,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1899999
3,3,1800,0,8650.102741,0.04,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,899990
4,5,4800,13,8080.942908,0.33,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2099000
5,5,4668,0,6164.921086,0.21,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1649990
5,5,4352,16,7061.348616,0.2,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1450000
4,4,3668,60,5625.048941,0.2,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1279900
4,4,2805,65,8495.666994,0.15,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1185000
3,5,3894,40,6100.335677,0.09,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1079000
5,3,4028,84,6708.92692,0.2,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1379000
